1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,
    Power kerosene         , 2.2, 2.1, 1.7, 1.1, 0.9, 0.9, 0.8, 0.7, 0.6, 0.5, 0.4, 0.4, 0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1,,,,,,,,,,,,,,,,
    Heating oil            , 29.1, 34.5, 33.7, 37.1, 32.7, 31.2, 20.0, 12.5, 10.8, 9.0, 8.0, 7.4, 5.9, 5.7, 4.8, 4.4, 4.8, 4.8, 5.6, 6.1, 4.7, 4.2, 4.2, 4.4, 3.9,,,,,,,,,,,,,,,0.0,0.0
    ADO                    , 176.8, 196.5, 205.5, 228.4, 236.2, 251.8, 276.1, 285.1, 301.1, 287.0, 305.1, 313.8, 320.2, 335.7, 351.0, 376.7, 389.6, 378.3, 385.6, 398.6, 414.0, 431.6, 461.1, 475.9, 485.2, 495.9, 513.0, 511.9, 536.2,592.0,618.3,652.6,663.2,671.9,717.7,727.7,754.4,796.0,855.8,911.2,944.6
    IDF                    , 62.7, 63.9, 73.4, 73.9, 78.6, 52.0, 44.1, 32.7, 24.4, 17.3, 13.3, 12.9, 10.4, 9.0, 8.2, 7.4, 6.1, 4.9, 5.2, 5.1, 3.6, 3.2, 2.2, 2.9, 2.5,,,,,,,,,,,,,,,,
    Fuel oil               , 326.1, 279.3, 257.5, 271.5, 267.5, 278.9, 251.6, 222.0, 182.0, 155.1, 159.3, 134.5, 109.1, 98.6, 95.9, 99.4, 101.9, 92.3, 78.5, 74.7, 74.0, 87.5, 86.6, 82.0, 72.9, 77.2, 90.2, 79.9, 80.7,79.4,82.4,79.2,81.2,79.0,86.9,77.4,72.1,68.0,74.6,66.4,65.7
    Petroleum products nec , 186.4, 182.0, 178.2, 187.1, 186.6, 172.6, 165.4, 153.3, 147.3, 131.9, 142.5, 137.3, 136.9, 139.6, 147.7, 153.1, 143.7, 154.5, 151.3, 163.0, 165.2, 173.4, 180.2, 159.1, 172.4, 171.6, 170.5, 160.8, 157.8,178.6,207.5,226.6,222.7,223.6,224.7,205.4,199.5,236.0,229.4,263.9,267.9
    Solvents               , 10.2, 8.2, 6.4, 5.5, 7.7, 7.3, 7.9, 5.4, 6.0, 5.6, 4.6, 3.2, 3.2, 3.6, 4.1, 3.9, 4.0, 3.2, 3.2, 3.8, 5.1, 7.9, 8.0, 10.0, 8.9, 7.1, 9.5, 9.4, 10.6,8.1,6.3,6.5,10.2,10.6,11.4,10.3,11.4,11.3,9.3,7.9,7.3
    Lubricants and greases   , 18.4, 17.2, 16.9, 17.1, 17.1, 18.1, 18.5, 18.2, 18.8, 17.0, 17.4, 17.5, 17.8, 17.9, 18.8, 19.8, 20.1, 18.6, 18.5, 19.1, 19.5, 19.3, 20.1, 20.1, 20.1, 19.5, 20.4, 21.1, 21.5,22.0,23.9,18.2,17.5,16.3,17.1,17.2,18.1,16.9,13.8,17.7,19.4
    Bitumen                , 20.4, 19.8, 21.7, 22.9, 24.2, 25.4, 24.9, 22.4, 22.6, 21.5, 24.4, 25.3, 25.6, 25.0, 24.6, 26.0, 28.3, 27.4, 26.3, 29.1, 31.5, 30.7, 30.8, 32.2, 31.4, 31.5, 34.4, 31.5, 33.2,29.6,32.6,35.6,35.5,35.6,34.5,35.6,35.9,31.7,32.2,32.3,25.3
    Natural gas            , 172.5, 189.2, 211.2, 256.2, 283.0, 314.9, 362.6, 416.0, 462.0, 466.2, 490.0, 523.3, 570.7, 588.4, 610.5, 627.8, 688.0, 655.4, 678.7, 707.0, 736.8, 793.1, 797.0, 818.4, 859.3, 888.4, 924.3, 961.6, 976.4,942.1, 974.0, 996.4,1 000.9,1 131.9,1 168.7,1 266.1,1 269.2,1 282.3,1 343.1,1 371.5,1 401.8
    Town gas               , 20.6, 20.0, 19.3, 18.4, 17.2, 16.5, 16.4, 16.4, 14.6, 14.8, 15.5, 15.0, 13.0, 11.5, 10.2, 9.5, 8.6, 8.2, 8.4, 9.7, 9.6, 9.9, 5.6, 4.8, 3.7, 3.3, 3.3, 3.3, 3.4,5.2,5.2,5.2,5.1,5.0,3.8,0.5,0.4,0.5,0.2,0.1,0.1
    Solar energy           , 0.1, 0.1, 0.2, 0.3, 0.4, 0.6, 0.8, 1.0, 1.3, 1.6, 1.8, 2.1, 2.5, 2.4, 2.4, 2.4, 2.4, 2.4, 2.5, 2.5, 2.5, 2.5, 2.6, 2.6, 2.6, 2.6, 2.7, 2.6, 2.7,2.8,2.6,2.6,2.4,6.0,6.7,8.2,10.5,11.6,12.3,13.1,13.2
    Electricity            , 250.5, 266.4, 276.6, 299.0, 311.3, 331.0, 348.2, 368.5, 381.9, 383.6, 405.9, 435.5, 457.0, 477.5, 500.7, 532.1, 558.1, 564.6, 574.4, 589.2, 602.9, 623.4, 639.4, 658.7, 703.6, 734.3, 756.8, 776.4, 786.4,799.1,826.7,822.1,837.2,874.3,874.5,891.0,908.4,913.0,902.6,898.8,894.0
    Liquid/Gas Biofuels,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1.6, 2.1,11.2,10.6,9.2,9.9,10.7,15.2,19.9,22.6,25.7,27.3,26.0,28.6
